url,title,rating,year
https://eufactcheck.eu/blogpost/discrediting-eu-and-eu-monitoring-mission-in-georgia/,Discrediting EU and EU Monitoring Mission in Georgia,,2019
https://eufactcheck.eu/factcheck/mostly-true-carbon-emission-will-lower-with-85-with-saf/,“Carbon emission will lower with 85% with SAF”,MOSTLY TRUE,2019
https://eufactcheck.eu/factcheck/true-air-quality-in-flanders-has-improved-over-the-years/,“Air quality in Flanders has improved over the years”,TRUE,2019
https://eufactcheck.eu/factcheck/true-the-iraqi-defence-minister-received-swedish-citizenship-under-a-false-name/,The Iraqi Defence Minister received Swedish citizenship under a false name,TRUE,2019
https://eufactcheck.eu/blogpost/separatism-in-catalonia/,Separatism in Catalonia,,2019
https://eufactcheck.eu/factcheck/true-spanish-court-has-passed-sentences-upon-12-catalonian-politician/,Spanish court has passed sentences upon 12 Catalonian politicians,TRUE,2019
https://eufactcheck.eu/factcheck/false-only-politically-conservative-croatian-women-are-successful/,Only politically conservative Croatian women are successful,FALSE,2019
https://eufactcheck.eu/factcheck/false-there-is-no-scientific-study-that-proves-neutral-packaging-of-cigarettes-makes-people-smoke-less/,“There is no scientific study that proves neutral packaging of cigarettes makes people smoke less”,FALSE,2019
https://eufactcheck.eu/factcheck/false-every-3rd-refugee-reaches-italy-on-a-yacht-on-the-eastern-route/,Every 3rd refugee reaches Italy on a yacht on the eastern route,FALSE,2019
https://eufactcheck.eu/factcheck/false-croatian-president-claims-she-was-born-behind-the-iron-curtain/,Croatian President claims she was born behind the Iron Curtain.,FALSE,2019
https://eufactcheck.eu/factcheck/true-women-earn-on-average-16-less-than-men/,“Women earn on average 16% less than men”,TRUE,2019
https://eufactcheck.eu/blogpost/people-need-clarity-journalists-need-access/,"People need clarity, journalists need access",,2019
https://eufactcheck.eu/factcheck/uncheckable-brexit-already-brought-2-000-jobs-to-flanders/,“Brexit already brought 2.000 jobs to Flanders”,UNCHECKABLE,2019
https://eufactcheck.eu/blogpost/discrediting-the-eu-georgia-association-agreement/,Discrediting the EU-Georgia Association Agreement,,2019
https://eufactcheck.eu/blogpost/brexit-uk-leaves-eu/,UK LEAVES EU,,2019
https://eufactcheck.eu/factcheck/true-queen-elizabeth-ii-of-great-britain-has-signed-the-law-which-postpones-brexit-if-there-is-no-agreement-with-brussels/,«Queen Elizabeth II of Great Britain has signed the law which postpones Brexit if there is no agreement with Brussels»,TRUE,2019
https://eufactcheck.eu/blogpost/european-election-2019-and-georgian-media/,European Election 2019 and Georgian Media,,2019
https://eufactcheck.eu/factcheck/false-eufactcheck-stops/,EUfactcheck stops,FALSE,2019
https://eufactcheck.eu/blogpost/photo-blog-there-is-a-distinct-relationship-between-pizzas-and-facts-mostly-true/,There is a distinct relationship between pizzas and facts (mostly true),,2019
https://eufactcheck.eu/factcheck/false-the-upcoming-eu-elections-are-a-referendum-on-abortion/,The upcoming EU elections are “a referendum on abortion”,FALSE,2019
https://eufactcheck.eu/blogpost/blog-on-the-road-voting/,On-the-road voting,,2019
https://eufactcheck.eu/factcheck/false-the-increased-homophobia-in-the-netherlands-is-caused-by-uncontrolled-immigration-and-open-borders-2/,“The increased homophobia in The Netherlands is caused by uncontrolled immigration and open borders”,FALSE,2019
https://eufactcheck.eu/factcheck/mostly-true-berlusconi-under-my-governments-italy-reached-the-lowest-tax-to-gdp-ratio-in-the-last-20-years-39/,"Berlusconi: “Under my governments, Italy reached the lowest tax to Gdp ratio in the last 20 years (39%)”",MOSTLY TRUE,2019
https://eufactcheck.eu/factcheck/mostly-true-italys-employment-rates-peaking-while-youth-unemployment-at-its-lowest-claims-italian-minister/,"Italy’s employment rates peaking while youth unemployment at its lowest, claims Italian minister",MOSTLY TRUE,2019
https://eufactcheck.eu/factcheck/false-the-netherlands-has-the-most-flexible-labour-market-in-europe/,“The Netherlands has the most flexible labour market in Europe”,FALSE,2019
https://eufactcheck.eu/blogpost/blog-political-party-of-kosovo-found-its-way-in-to-the-european-parliament/,Political party of Kosovo found its way in to the European Parliament,,2019
https://eufactcheck.eu/factcheck/false-the-cost-of-irish-reunification-2-7-billion-pounds/,The cost of Irish reunification – £2.7 billion pounds?,FALSE,2019
https://eufactcheck.eu/blogpost/copy-paste-journalism/,Copy-paste journalism,,2019
https://eufactcheck.eu/factcheck/mostly-false-sustainable-thinkers-are-often-the-biggest-polluters/,‘Sustainable thinkers are often the biggest polluters’,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/true-98-of-urban-population-in-the-eu-is-exposed-to-ozonelevels-that-exceed-the-who-guidelines/,“98% of urban population in the EU is exposed to ozone levels that exceed the WHO-guidelines”,TRUE,2019
https://eufactcheck.eu/factcheck/true-80-percent-of-the-european-money-for-agriculture-goes-to-the-20-percent-largest-farmers/,“80 percent of the European money for agriculture goes to the 20 percent largest farmers”,TRUE,2019
https://eufactcheck.eu/factcheck/mostly-true-every-fourth-employee-in-germany-is-in-the-low-wage-sector/,Every fourth employee in Germany is in the low-wage sector,MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/the-power-of-shadow-player/,The Power of a Shadow Player,,2019
https://eufactcheck.eu/blogpost/are-the-british-really-fighting-for-the-survival-of-democracy/,Are the British really fighting for the survival of democracy?,,2019
https://eufactcheck.eu/factcheck/true-voter-turnout-in-ep-elections-has-steadily-decreased-since-the-late-1970s/,“Voter turnout in EP elections has steadily decreased since the late 1970’s”,TRUE,2019
https://eufactcheck.eu/factcheck/false-the-travel-time-from-the-netherlands-to-berlin-by-train-is-as-long-as-twenty-years-ago/,“The travel time from The Netherlands to Berlin by train is as long as twenty years ago”,FALSE,2019
https://eufactcheck.eu/blogpost/blog-how-to-make-the-world-a-better-place/,How to make the world a better place,,2019
https://eufactcheck.eu/factcheck/mostly-false-five-thousand-professions-are-regulated-in-europe/,‘Five thousand professions are regulated in Europe’,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/mostly-false-contributing-to-climate-policy-appears-to-be-not-that-popular-with-the-members-of-groenlinks/,“Contributing to climate policy […] appears to be not that popular with the members of GreenLeft”,MOSTLY FALSE,2019
https://eufactcheck.eu/blogpost/blog-collaborating-with-facebook-to-combat-fake-news/,Collaborating with facebook to combat fake news?,,2019
https://eufactcheck.eu/factcheck/uncheckable-according-to-studies-the-majority-of-germans-french-and-brits-do-not-even-want-to-defend-their-own-country/,"“According to studies, the majority of Germans, French, and Brits do not even want to defend their own country”",UNCHECKABLE,2019
https://eufactcheck.eu/factcheck/uncheckable-yearly-825-billion-euros-in-tax-payments-are-being-evaded-in-the-european-union/,"“Yearly, 825 billion euros in tax payments are being evaded in the European Union”",UNCHECKABLE,2019
https://eufactcheck.eu/blogpost/blog-fact-checking-the-project-yes-and-their-intention-to-represent-the-opinions-of-the-european-youth-for-the-upcoming-elections/,Fact-checking the project YES! and their intention to represent the opinions of the European Youth for the upcoming elections,,2019
https://eufactcheck.eu/factcheck/mostly-false-the-yes-survey-is-representative-of-the-european-youth/,The YES! survey is representative of the European youth,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/false-small-and-medium-sized-enterprises-employ-90-percent-of-the-workforce-in-the-eu-area/,“Small and medium-sized enterprises employ 90 percent of the workforce in the EU area”,FALSE,2019
https://eufactcheck.eu/factcheck/mostly-true-german-co2-emissions-are-now-to-be-reduced-while-developing-countries-may-increase-their-emissions-indefinitely/,"“German CO2 emissions […] are now to be reduced, while developing countries […] may increase their emissions indefinitely.”",MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/blog-why-and-how-russian-disinformation-targets-europe-and-the-eu-in-georgia/,Why and How Russian Disinformation targets Europe and the EU in Georgia,,2019
https://eufactcheck.eu/blogpost/true-nigel-farage-launches-brexit-party-to-run-eu-elections/,How to use our flowchart to check a statement about the Brexit Party in the EU Elections.,,2019
https://eufactcheck.eu/factcheck/false-europe-cant-do-anything-about-the-way-spain-deals-with-the-catalonian-separatists/,‘Europe can’t do anything about the way Spain deals with the Catalonian separatists.’,FALSE,2019
https://eufactcheck.eu/factcheck/mostly-true-the-probability-of-sleep-and-learning-problems-depression-and-diabetes-amongst-pupils-would-be-massively-increased-by-a-permanent-changeover-to-summer-time/,"“The probability of sleep and learning problems, depression and diabetes amongst pupils would be massively increased by a permanent changeover to summer time”",MOSTLY TRUE,2019
https://eufactcheck.eu/factcheck/mostly-false-youth-unemployment-rate-in-croatia-decreased-by-more-than-half-because-of-government-policies/,Youth unemployment rate in Croatia decreased by more than half due to government policies,MOSTLY FALSE,2019
https://eufactcheck.eu/blogpost/is-our-relationship-to-fact-a-long-distance/,Is our relationship with facts a long distance one?,,2019
https://eufactcheck.eu/blogpost/issues-occurred-during-the-4th-report-of-auth/,Did a huge crowd of Golden Dawn’s supporters  gather for the announcement of the party’s European Parliament ticket?”,,2019
https://eufactcheck.eu/factcheck/mostly-false-nuclear-power-is-climate-smart/,“Nuclear power is climate smart”,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/does-article-13-open-the-door-to-censorship/,Does Article 13 open the door to censorship?,UNCHECKABLE,2019
https://eufactcheck.eu/blogpost/eu-turkey-facts-and-context/,"EU-Turkey, facts and context",,2019
https://eufactcheck.eu/factcheck/true-the-eu-continues-to-pay-to-turkey/,“The EU continues to pay to Turkey”,TRUE,2019
https://eufactcheck.eu/factcheck/false-unemployment-in-italy-is-significantly-growing/,“Unemployment in Italy is  growing significantly”,FALSE,2019
https://eufactcheck.eu/factcheck/mostly-false-crime-in-germany-is-up-10-plus-since-migrants-were-accepted%ef%bb%bf/,“Crime in Germany is up 10% plus since migrants were accepted“﻿,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/mostly-false-still-millions-of-fraudulent-diesel-cars-driving-around-in-eu/,“Still millions of fraudulent diesel cars driving around in EU”,MOSTLY FALSE,2019
https://eufactcheck.eu/blogpost/blog-disinformation-before-the-european-elections-how-big-is-the-threat/,Disinformation before the European elections – how big is the threat?,,2019
https://eufactcheck.eu/factcheck/mostly-false-electric-cars-generate-higher-emissions-than-diesel-cars/,“Electric cars generate higher emissions than diesel cars”,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/mostly-false-10000-scientific-research-files-call-upon-delaying-the-implementation-of-5g-technology/,"„10,000 scientific research files call upon delaying the implementation of 5G technology”",MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/mostly-true-asylum-seekers-and-refugees-are-clearly-over-represented-in-both-sexual-assaults-and-aggression-offences/,“Asylum seekers and refugees are clearly over-represented in both sexual assaults and aggression offences”,MOSTLY TRUE,2019
https://eufactcheck.eu/factcheck/1709/,Mostly true – “No one takes the airplane from Brussels to Paris”,MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/what-a-claim-by-an-ngo-shows-us-about-documentation-surrounding-refugees/,What a claim by an NGO shows us about documentation surrounding refugees,,2019
https://eufactcheck.eu/factcheck/mostly-false-europe-outlaws-the-raccoon-shoot-them/,‘Europe outlaws the raccoon: ‘shoot them’’,MOSTLY FALSE,2019
https://eufactcheck.eu/factcheck/uncheckable-let-us-be-clear-while-muslims-may-have-been-the-victims-today-usually-they-are-the-perpetrators/,"“Let us be clear, while Muslims may have been the victims today, usually they are the perpetrators.”",UNCHECKABLE,2019
https://eufactcheck.eu/factcheck/uncheckable-the-eu-yields-1500-2000-euro-to-every-dutchman-annually/,“The EU yields 1500-2000 euro to every Dutchman annually”,UNCHECKABLE,2019
https://eufactcheck.eu/factcheck/mostly-false-2018-youth-unemployment-in-sweden-is-the-lowest-in-17-years/,“2018 youth unemployment in Sweden is the lowest in 17 years”,MOSTLY FALSE,2019
https://eufactcheck.eu/blogpost/blog-the-importance-of-fact-checking/,The importance of fact-checking,,2019
https://eufactcheck.eu/factcheck/mostly-true-online-payment-terminals-would-prevent-the-shadow-economy-from-occurring-by-140-million-euros-per-year/,“Online payment terminals would prevent the shadow economy from occurring by 140 million euros per year”,MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/blog-when-finally-did-the-deadline-for-submitting-applications-to-participate-in-the-2019-european-parliament-elections-for-greek-citizens-who-have-their-residence-in-other-eu-countries-expire/,"When, finally, did the deadline for submitting applications to participate in the 2019 European parliament elections for Greek citizens who have their residence in other EU countries expire?",,2019
https://eufactcheck.eu/factcheck/mostly-true-deadline-for-submitting-applications-to-participate-in-the-2019-european-parliament-elections-for-greek-citizens-who-have-their-residence-in-other-eu-countries/,“29 March deadline for submitting applications to participate in the 2019 European Parliament elections for Greek citizens who have their residence in other EU countries”,MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/blog-the-curious-and-complex-relationship-between-european-and-national-legislation/,The curious and complex relationship between European and national legislation,,2019
https://eufactcheck.eu/factcheck/mostly-true-two-thirds-of-european-laws-are-part-of-croatian-legislation/,“Two thirds of European laws are part of Croatian legislation”,MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/mostly-true-polarisation-is-democratic/,Polarisation in democracy: good or bad? Depends on how you look at it,,2019
https://eufactcheck.eu/factcheck/uncheckable-the-national-coalition-party-and-united-russia-have-been-fraternal-parties-for-a-long-time/,‘’The National Coalition Party and United Russia have been fraternal parties for a long time’’,UNCHECKABLE,2019
https://eufactcheck.eu/blogpost/why-accurate-salary-comparisons-between-government-officials-are-nearly-impossible/,Why accurate salary comparisons between government officials are nearly impossible,,2019
https://eufactcheck.eu/factcheck/mostly-true-a-quarter-of-turkish-judges-have-been-sacked/,“A quarter of Turkish judges have been sacked”,MOSTLY TRUE,2019
https://eufactcheck.eu/factcheck/mostly-true-huge-crowd-of-3000-supporters-of-the-golden-dawn-party-gathers-for-the-announcement-its-european-parliament-ticket/,"“Huge crowd of 3,000 supporters of the Golden Dawn party  gathers for the announcement of its European Parliament ticket”",MOSTLY TRUE,2019
https://eufactcheck.eu/blogpost/blog-fact-checking-awfully-great/,Fact checking – Awfully great,,2019
https://eufactcheck.eu/factcheck/uk-removes-words-european-union-from-british-passports/,“UK removes words ‘European Union’ from British passports”,TRUE,2019
