url;origin;claim;rating;year
https://eufactcheck.eu/factcheck/mostly-false-we-have-to-provide-our-soldier-with-basic-equipment-for-work/;;We have to provide our soldier with basic equipment for work;MOSTLY FALSE;2021
https://eufactcheck.eu/factcheck/mostly-true-horror-fans-are-better-at-coping-during-the-global-pandemic/;https://www.vice.com/nl/article/horrorfans-kunnen-beter-omgaan-met-de-pandemie-blijkt-uit-onderzoek/?fbclid=IwAR2dJpCUyhtDR_RDbyJ7qbNOqbPF8mbO8IRju3qGlUYtNKwZhqh8Dr5XzEU;Horror fans are better at coping during the global pandemic;MOSTLY TRUE;2021
https://eufactcheck.eu/factcheck/mostly-true-government-measures-positively-affected-slovenian-employment-rating/;;Government measures positively affected Slovenian employment rating;MOSTLY TRUE;2021
https://eufactcheck.eu/factcheck/mostly-true-wages-grew-more-than-prices-in-countries-that-introduced-the-euro/;;Wages grew more than prices in countries that introduced the euro;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-the-2022-fifa-world-cup-in-qatar-is-fully-carbon-neutral/;;The 2022 FIFA World Cup in Qatar is fully carbon-neutral;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-eu-now-spends-three-times-more-than-russia-on-defence/;;EU now spends three times more than Russia on defence;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/false-the-eu-has-not-fulfilled-its-role-as-a-guarantor-and-sponsor-of-the-brussels-agreement/;;The EU has not fulfilled its role as a guarantor and sponsor of the Brussels Agreement;FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-herd-immunity-in-germany-has-already-been-reached/;;Herd immunity in Germany has already been reached;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-keep-migrants-out-of-the-uk-by-leaving-the-un-1951-convention/;;Keep migrants out of the UK by leaving the UN-1951 convention;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-without-the-dissenting-votes-of-the-afd-a-vaccine-mandate-would-have-been-introduced-in-germany/;;Without the dissenting votes of the AfD, a vaccine mandate would have been introduced in Germany;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-most-of-wallonia-and-some-of-flanders-are-depleting-their-renewable-water-resources-at-the-highest-rate-in-northern-europe/;;Most of Wallonia and some of Flanders, are depleting their renewable water resources at the highest rate in northern Europe;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-diverse-teams-work-better-in-times-of-crisis/;;diverse teams work better in times of crisis;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-the-belgian-labor-market-does-not-need-immigrant-workers/;;The Belgian labor market does not need immigrant workers;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-russia-abandons-international-space-station-it-could-fall-on-europe/;https://www.marca.com/en/lifestyle/world-news/2022/04/03/6249db6ee2704e504f8b45a0.html?fbclid=IwAR2qHI7bdRJ5xDKcICDmNoEHpeGQqwJIdCbl5A03i0ld79QS91B97ySI_mM;Russia abandons International Space Station: It could fall on Europe!;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-more-than-30-million-europeans-live-in-energy-poverty/;;More than 30 million Europeans live in energy poverty;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/uncheckable-only-three-people-died-in-the-construction-of-stadiums-for-the-fifa-world-cup-in-qatar/;;„Only three people died in the construction of stadiums for the FIFA world cup in Qatar;UNCHECKABLE;2022
https://eufactcheck.eu/factcheck/false-500-000-people-participated-in-berlin-in-a-demonstration-against-the-russian-invasion/;;500 000 people participated in Berlin in a demonstration against the Russian invasion;FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-illegal-greek-migrants-are-not-refugees/;;Illegal Greek migrants are not refugees;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-jews-are-feeling-increasingly-insecure-due-to-covid-19/;https://www.tagesschau.de/faktenfinder/ns-vergleiche-antisemitismus-103.html;Jews are feeling increasingly insecure due to Covid-19;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-german-taxpayers-have-the-highest-tax-and-contribution-burden-in-the-world/;;German taxpayers have the highest tax and contribution burden in the world;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-whoever-has-been-injected-with-that-scary-vaccine-can-claim-compensation-in-denmark/;;Whoever has been injected with that scary ‘vaccine’ can claim compensation in Denmark“;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-if-housing-conditions-in-ghent-dont-change-40-of-all-inhabitants-will-not-be-able-to-buy-a-house-on-the-private-market/;;If housing conditions in Ghent don’t change, 40% of all inhabitants will not be able to buy a house on the private market;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/false-germany-will-never-fulfill-its-energy-requirements-with-only-wind-energy-and-solar-power/;;„Germany will never fulfill its energy requirements with only wind energy and solar power.“;FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-less-educated-people-are-more-likely-to-get-depressed/;;Less educated people are more likely to get depressed;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-true-e-vehicles-are-more-efficient-than-combustion-engines/;;E-vehicles are more efficient than combustion engines;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-windmills-are-considering-their-entire-life-cycle-not-sustainable/;;Windmills are, considering their entire life cycle, not sustainable;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/true-the-european-unions-climate-tax-is-as-much-as-60-of-the-energy-production-costs/;;The European Union’s climate tax is as much as 60% of the energy production costs.;TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-the-danger-is-real-since-2015-it-has-been-possible-by-law-for-third-countries-to-use-nuclear-weapons-on-ukrainian-soil/;;The danger is real: since 2015 it has been possible by law for third countries to use nuclear weapons on Ukrainian soil;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/true-belgium-drops-to-the-49th-place-in-the-climate-change-performance-index/;;Belgium drops to the 49th place in the Climate Change Performance Index;TRUE;2022
https://eufactcheck.eu/factcheck/uncheckable-63-of-transactions-in-bulgaria-are-made-in-cash/;https://www.novinite.com/view_news.php?id=214573&;63% of transactions in Bulgaria are made in cash;UNCHECKABLE;2022
https://eufactcheck.eu/factcheck/uncheckable-drastic-increase-in-suicide-attempts-by-children/;https://www.morgenpost.de/vermischtes/article234247493/corona-kinder-suizidversuche-lockdown-studie.html;Drastic increase in suicide attempts by children“;UNCHECKABLE;2022
https://eufactcheck.eu/factcheck/true-china-dominates-the-global-graphite-market-threatening-electric-cars-production/;https://www.dw.com/en/chinese-graphite-dominance-threatens-electric-car-ambitions/a-60888876?fbclid=IwAR2X4HT-u2fPACQ12s7T4j75aE61hL4ilkiHzV1bNrqbxR7451QApctiNpc;China dominates the global graphite market, threatening electric cars’ production;TRUE;2022
https://eufactcheck.eu/factcheck/uncheckable-generation-z-has-more-mental-health-problems-than-any-other-generation-before/;;Generation Z has more mental health problems than any other generation before;UNCHECKABLE;2022
https://eufactcheck.eu/factcheck/false-belgium-blocks-the-waiver-to-release-covid-vaccine-patents-for-the-third-world-the-most/;;Belgium blocks the waiver to release Covid-vaccine patents for the third world the most;FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-if-srebrenica-was-a-genocide-then-we-need-to-think-up-a-new-name-for-other-more-serious-crimes/;https://www.aa.com.tr/en/europe/croatian-president-makes-controversial-statements-on-srebrenica-genocide/2442617;If Srebrenica was a genocide, then we need to think up a new name for other more serious crimes;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/uncheckable-deloitte-belgium-claims-to-have-reduced-its-co2-emissions-by-a-third-in-three-years/;;Deloitte Belgium claims to have reduced its CO2-emissions by a third in three years;UNCHECKABLE;2022
https://eufactcheck.eu/factcheck/mostly-false-new-measures-drop-moldovas-vaccination-rate-by-almost-60/;;new measures drop Moldova’s vaccination rate by almost 60%;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-teachers-salaries-in-germany-are-higher-than-the-national-average/;https://www.dw.com/ru/skolko-poluchajut-uchitelja-w-germanii/a-45771603;Teachers’ salaries in Germany are higher than the national average;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/false-italians-stormed-a-mall-to-protest-green-passports/;;Italians stormed a mall to protest green passports;FALSE;2022
https://eufactcheck.eu/factcheck/mostly-false-postal-voting-is-a-big-problem-and-electoral-fraud-is-a-sad-truth-in-germany/;;Postal voting is a big problem and electoral fraud is a sad truth in Germany;MOSTLY FALSE;2022
