request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01kdwed8d6fzds721c24kgcxg2,1767259939238,200,0.213324,0.82392,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,232,232,0,0,246
req_01kdwed6c8em7v9ytzer8s85rx,1767259937160,200,0.228547,2.045874,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,496,496,0,0,463
req_01kdwed54tfyh8g56v92t26rk0,1767259935898,200,0.095336,1.230149,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,141,141,0,0,456
req_01kdwed4cafgxrq09g2ht16sgt,1767259935114,200,0.108263,0.745514,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,229,229,0,0,294
req_01kdwed1xxfy9tkde5xfmw5981,1767259932605,200,0.222884,2.474274,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,492,492,0,0,642
req_01kdwed1axfgr94weznkktwar7,1767259931997,200,0.096713,0.576195,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,137,137,0,0,209
req_01kdwed04qeksah2g7p531598t,1767259930775,200,0.108223,1.182652,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,373,373,0,0,467
req_01kdwecyrtfgkr72vt6m8pvajb,1767259929371,200,0.354819,1.369858,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,3591,3591,0,0,519
req_01kdwecxmxfgkbpb6byxpwxmhs,1767259928221,200,0.205216,1.113325,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,135,135,0,0,450
req_01kdwecwz9fght4pzyw08h1bdb,1767259927529,200,0.210088,0.654328,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,228,228,0,0,209
req_01kdwecvywekg9xg11vrkpbvar,1767259926492,200,0.115265,1.003626,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,497,497,0,0,508
req_01kdwecv9nfg9975pbxf4q550e,1767259925813,200,0.09633,0.642635,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,142,142,0,0,261
req_01kdwectmcfxa88e54wqpkbzpf,1767259925132,200,0.101149,0.645006,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,260,260,0,0,252
req_01kdwecs4dfg8seddsfwgvpwq9,1767259923597,200,0.223016,1.48623,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,488,488,0,0,562
req_01kdwecrcxfx5r0vf3eem0n5n1,1767259922845,200,0.098664,0.717515,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,133,133,0,0,295
req_01kdwecqxqfg4szjgx794rscae,1767259922359,200,0.103696,0.453187,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,232,232,0,0,174
req_01kdwecpxgejzbsnt83wh7nj6x,1767259921328,200,0.116031,0.996963,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,488,488,0,0,467
req_01kdwecnzrfg39daw44f9qz3z9,1767259920376,200,0.204263,0.9182,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,133,133,0,0,355
req_01kdwecnbqfg38n8nc28ph78sn,1767259919735,200,0.103662,0.610657,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,224,224,0,0,248
req_01kdwecma2fg2t1ma50zd0gbgs,1767259918658,200,0.111711,1.044135,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,486,486,0,0,514
req_01kdweck7wfg1a6csddnv9hhdy,1767259917564,200,0.095767,1.061658,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,131,131,0,0,450
req_01kdwechrjejt800ksk88nqjy1,1767259916050,200,0.10657,1.478623,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,261,261,0,0,447
req_01kdwecge7ffyr4jzs0kw1453r,1767259914695,200,0.20419,1.318972,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,2596,2596,0,0,566
req_01kdwecfcgfwcrhzgy27e1602k,1767259913616,200,0.096722,1.041989,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,132,132,0,0,418
req_01kdwecetffwctyww7p4290kk3,1767259913039,200,0.100476,0.537169,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,235,235,0,0,190
req_01kdwecdvwfwbr5yp6gpbx73qg,1767259912060,200,0.110597,0.948712,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,484,484,0,0,445
req_01kdweccabffs8p45dywcg7ykz,1767259910475,200,0.099769,1.5515349999999999,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,129,129,0,0,668
req_01kdwecbj9ffqscmkybjncrnq4,1767259909705,200,0.101908,0.739093,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,226,226,0,0,285
req_01kdweca4tffqv0c2dzeg8kzat,1767259908250,200,0.111125,1.421001,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,490,490,0,0,678
