request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01kdx538hvfmpa6y6j630k8b6b,1767283728955,200,0.230813,0.800053,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,307,307,0,0,288
req_01kdx537mzeav9tgs6p7tcjrkd,1767283728031,200,0.225892,0.89059,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,538,538,0,0,379
req_01kdx536gqfmmvc6k68rkc7bnv,1767283726871,200,0.096059,1.12239,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,141,141,0,0,452
req_01kdx535t8f28bwq9xgvcvqm6c,1767283726152,200,0.212753,0.68156,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,304,304,0,0,209
req_01kdx534s0f289hgs8qwhtfrpr,1767283725088,200,0.11745,1.030276,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,534,534,0,0,474
req_01kdx53467fmksbt34etjm43ev,1767283724487,200,0.097544,0.564125,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,137,137,0,0,221
req_01kdx5331bfmdvmvtq1em82c0y,1767283723307,200,0.110642,1.1393119999999999,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,448,448,0,0,277
req_01kdx531htfmarqn97chcvjaae,1767283721786,200,0.256954,1.48578,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,3633,3633,0,0,620
req_01kdx530n8fm9vcrqb9kxhytfw,1767283720872,200,0.269939,0.878828,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,135,135,0,0,307
req_01kdx52zw5fm98cwjt8d6tnv1x,1767283720069,200,0.105327,0.769287,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,303,303,0,0,276
req_01kdx52yv7f1wakmcyt0246g7w,1767283719015,200,0.218455,1.011044,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,539,539,0,0,455
req_01kdx52xw8f1ntfxhheewnabkj,1767283718024,200,0.099695,0.951029,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,142,142,0,0,404
req_01kdx52xb4eacbxapgd1ns31ez,1767283717476,200,0.109665,0.512278,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,335,335,0,0,177
req_01kdx52w6xf1hvr22rdwmnrygz,1767283716317,200,0.220028,1.112388,qwen/qwen3-32b,key_01k5ntevx5ensbcw40ftmnhbek,project_01jtk94v6xegpsh5zdhd6yx062,530,530,0,0,483
